total_patients
--------------
3819          
avg_billing_amount
------------------
25434.91          
avg_length_of_stay
------------------
15.76             
total_billing_amount
--------------------
97822651.58         
pct_emergency_admissions
------------------------
33.31                   
Test_Results  admissions  avg_billing_amount  avg_length_of_stay
------------  ----------  ------------------  ------------------
Abnormal      1288        25248.17            15.61             
Normal        1285        25648.97            15.76             
Inconclusive  1273        25407.77            15.9              
Admission_Type  admissions  avg_billing_amount  avg_length_of_stay  total_billing_amount
--------------  ----------  ------------------  ------------------  --------------------
Elective        1297        25768.74            16.0                33422057.98         
Emergency       1281        25422.02            15.7                32565603.27         
Urgent          1268        25106.46            15.57               31834990.33         
Hospital                           admissions  avg_billing_amount  avg_length_of_stay  total_billing_amount
---------------------------------  ----------  ------------------  ------------------  --------------------
Wilson PLC                         6           26671.58            13.33               160029.49           
Smith Ltd                          6           16483.91            16.5                98903.47            
PLC Davis                          6           15843.68            19.5                95062.09            
Smith PLC                          5           34686.99            17.8                173434.93           
Sanchez Group                      4           20603.86            15.5                82415.44            
Miller LLC                         4           40523.32            20.5                162093.28           
LLC Johnson                        4           17739.43            21.5                70957.74            
Inc Smith                          4           24357.0             20.25               97428.01            
Harris Group                       4           24419.85            13.5                97679.39            
Wilson Group                       3           7945.94             19.67               23837.81            
White Group                        3           14771.25            22.67               44313.74            
Turner Group                       3           48351.79            11.33               145055.37           
Thomas and Sons                    3           5689.97             17.33               17069.92            
Sons Little and                    3           15097.5             23.33               45292.49            
Smith Inc                          3           23128.11            19.0                69384.32            
Osborne Group                      3           23857.26            18.67               71571.77            
Moore LLC                          3           15299.1             11.0                45897.29            
Ltd Schroeder                      3           18889.6             25.33               56668.79            
Ltd Lewis                          3           32542.58            19.0                97627.73            
Ltd Jones                          3           23126.72            18.33               69380.17            
Ltd Gibson                         3           38334.98            12.33               115004.93           
Ltd Clark                          3           31952.53            14.33               95857.59            
Lopez PLC                          3           25985.3             19.33               77955.91            
LLC Smith                          3           12004.68            23.0                36014.04            
Jennings Group                     3           27731.48            20.33               83194.45            
Inc Wilson                         3           11302.06            3.67                33906.17            
Inc Williams                       3           33516.48            14.0                100549.44           
Inc Spencer                        3           43461.14            10.33               130383.41           
Inc Jackson                        3           33598.7             10.67               100796.11           
Inc Harper                         3           22300.6             20.0                66901.81            
Inc Hamilton                       3           27450.19            13.0                82350.57            
Inc Anderson                       3           35174.32            5.0                 105522.97           
Group Smith                        3           23714.15            15.0                71142.46            
Group Jones                        3           25232.97            18.33               75698.91            
Davis PLC                          3           17434.3             23.33               52302.91            
Davis Inc                          3           30640.78            14.33               91922.34            
Campbell LLC                       3           21356.91            19.33               64070.72            
Bryant Sons and                    3           40240.97            8.0                 120722.92           
Bennett PLC                        3           35573.56            5.33                106720.69           
Adams Group                        3           31208.94            17.67               93626.82            
and White, Wall Hurst              2           4177.72             29.0                8355.43             
and Wang Sons                      2           29458.18            13.0                58916.35            
and Stephens Ortiz Campbell,       2           9472.9              3.0                 18945.79            
and Soto Benson Bailey,            2           13244.3             10.0                26488.6             
and Sons Rogers                    2           37126.01            10.0                74252.02            
and Sons Reyes                     2           29504.39            24.0                59008.77            
and Sons Parker                    2           28653.97            20.5                57307.93            
and Sons Munoz                     2           19973.66            18.0                39947.32            
and Sons Montgomery                2           21354.76            30.0                42709.52            
and Sons Miller                    2           6783.27             25.0                13566.54            
and Sons Lewis                     2           23755.03            4.0                 47510.07            
and Sons Johnson                   2           3140.91             26.0                6281.82             
and Shaffer Williams Leon,         2           43558.77            29.0                87117.53            
and Rodriguez Robinson Johnson,    2           43939.06            18.0                87878.12            
and Ramirez Johnson, Day           2           44182.89            25.0                88365.78            
and Ramirez Frazier Hernandez,     2           4497.16             22.0                8994.31             
and Pennington Carter, Lewis       2           16254.52            26.0                32509.05            
and Owens Smith Johnson,           2           24864.17            30.0                49728.34            
and Owens Bailey Rivera,           2           44774.28            9.0                 89548.56            
and Orr, Aguirre Bryant            2           22953.58            5.0                 45907.16            
and Oneal Harding Jones,           2           19691.8             11.0                39383.6             
and Moreno Fields Sutton,          2           31519.61            11.0                63039.21            
and Moreno Crosby Young,           2           26196.36            4.0                 52392.72            
and Moore, Johnson Curry           2           25615.89            7.0                 51231.77            
and Miller Dyer Black,             2           15998.74            10.0                31997.49            
and Massey Sons                    2           34846.04            2.0                 69692.08            
and Martinez, Brown Trevino        2           2352.12             29.0                4704.24             
and Marquez Silva Smith,           2           48995.98            30.0                97991.96            
and Liu Everett Allison,           2           6602.19             15.0                13204.38            
and Johnson, Mcdowell Hoffman      2           46903.16            3.0                 93806.31            
and Johnson Sons                   2           44706.47            12.0                89412.95            
and Hamilton, Bell Sanchez         2           13037.71            23.0                26075.42            
and Green Klein Woods,             2           992.96              6.0                 1985.92             
and Forbes Sons                    2           33133.73            18.0                66267.45            
and Fisher Doyle Kennedy,          2           45780.66            4.0                 91561.33            
and English Sanders, Wilcox        2           48413.77            20.0                96827.55            
and Dominguez, Schmidt Carter      2           32074.63            29.0                64149.26            
and Cummings, Davis Pierce         2           3497.8              22.0                6995.6              
and Craig Smith, Jackson           2           35346.06            17.0                70692.13            
and Coleman Lee, Rivera            2           28306.41            19.0                56612.83            
and Cain Wilcox Smith,             2           2171.07             10.0                4342.15             
and Branch, Vazquez Jackson        2           22289.28            23.0                44578.56            
and Barnes Stanley Murray,         2           31842.07            7.0                 63684.14            
and Andrews Cole, Garcia           2           11335.31            25.0                22670.62            
and Alvarez Sons                   2           5626.2              21.0                11252.4             
and Allen Bryant Carlson,          2           27857.48            7.0                 55714.96            
Zamora-Wallace                     2           5675.91             17.0                11351.82            
Wu-Stark                           2           23720.02            21.0                47440.04            
Wood-Daniels                       2           35529.67            25.0                71059.34            
Wood Ltd                           2           29087.97            29.5                58175.94            
Wilson-Maxwell                     2           18388.54            3.0                 36777.07            
Willis James, Marshall and         2           32976.61            3.0                 65953.22            
Williams-Cruz                      2           35617.81            28.0                71235.62            
Williams PLC                       2           22810.15            28.5                45620.3             
Williams Ltd                       2           40888.73            21.0                81777.46            
White-Phillips                     2           23630.99            14.0                47261.97            
White-Green                        2           9421.45             4.0                 18842.89            
White and Sons                     2           41340.36            13.0                82680.71            
White Williams and Frye,           2           6008.31             14.0                12016.61            
Warren-Moon                        2           18160.34            7.0                 36320.69            
Warren PLC                         2           48216.31            10.0                96432.63            
Walters-Walker                     2           48439.73            10.0                96879.46            
Walker-Liu                         2           45316.36            3.0                 90632.72            
Wade, and Kane Brooks              2           1347.54             2.0                 2695.09             
Wade Walker, Price and             2           33086.95            15.0                66173.9             
Turner-Mcguire                     2           29179.97            29.0                58359.94            
Trevino-Bennett                    2           19327.21            21.0                38654.43            
Tran, Sullivan and Johnson         2           14447.23            15.0                28894.47            
Torres, Boyle and Hubbard          2           6552.77             2.0                 13105.54            
Torres and Gonzalez, Peterson      2           4990.03             19.0                9980.05             
Todd-White                         2           46776.44            3.0                 93552.89            
Thornton-Anderson                  2           48230.21            22.0                96460.42            
Thompson-Weber                     2           21402.34            20.0                42804.69            
Taylor-Smith                       2           35848.39            27.0                71696.78            
Taylor-Sanders                     2           23049.47            26.0                46098.95            
